1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
54,Sun Life Assurance Comapny of Canada,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Insurance Company,general,0,0,0
55,Dorr Capital Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
56,797377 Ontario Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
57,Investissement Quebec,invest-quebec.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01'),Other,general,0,0,0
58,Fenelon Trails Inc,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Other,general,0,0,0
59,250 Bowie Holdings Inc,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
60,Markhamone Developments Ltd,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
61,1595758 Ontario Ltd,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
62,Christine Grandy,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Other,general,0,0,0
63,Aarkin Holdings Ltd,arkinholdings.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
64,Symington Properties Development Ltd,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
65,Lincoln House Inc,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Other,general,0,0,0
66,Toronto Community Housing Cor,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Other,general,0,0,0
67,City of Toronto,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Other,general,0,0,0
68,Concentra Trust,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Trust Company,general,0,0,0
69,HSBC Bank Canada,hsbc.ca,,2023-12-02 13:34:39,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
70,Peoples Trust Co,peoplestrust.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01'),Trust Company,general,0,0,0
71,The Fields of Wellington Inc,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Other,general,0,0,0
72,Mac&#039;s Convenience Stores Inc,circlek.com,,2023-12-02 13:34:42,'2023-10-30 12:43:01'),Other,general,0,0,0
73,Masteel Investment (Burlington) Cor,,,2023-10-13 11:00:09,'2023-10-30 12:43:01'),Other,general,0,0,0
74,Oakville Centre Medical Realty Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
75,2439656 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
76,1445422 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
77,Fiera FP Real Estate Financing Fund Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
78,2167492 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
79,2108957 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
80,2435675 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
81,Equitable Bank,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
82,5017120 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
83,1834375 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
84,4Q MR V GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
85,Timbercreek MR V (Europe) GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,commercial,0,0,1
86,Timberdreek Canadian Multi-Residential V GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,residential,0,0,0
87,Timbercreek Canadian Multi-Residential V GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,commercial|residential,0,0,1
88,Portage Capital Nominee Cor,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
89,Ironclad Developments Eagleson Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Development Company,general,0,0,0
90,River Mill Development Cor,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Development Company,general,0,0,0
91,Wykland Estates Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,land,1,0,0
92,Stan Klemencic Builder Ltd,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
93,"Landesbank Baden-Wurttemberg, New York Branch",lbbw.de,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
94,Dream Distillery Retail (GP) Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,retail,0,0,0
95,2007141 Ontario Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,general,0,0,0
96,Laurentian Bank of Canada,banquelaurentienne.ca,,2023-12-02 13:34:42,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
97,Desjardins Financial Security Life Assurance Co,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Credit Union,general,0,0,0
98,The Canada Life Assurance Co,canadalife.com,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Insurance Company,general,0,0,0
99,Dunbloor Developments Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Development Company,general,0,0,0
100,512160 Ontario Ltd,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
101,Westmount Guarantee Services Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
102,3689918 Ontario Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
103,Cambrian Credit Union Ltd,cambrian.mb.ca,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
104,2445132 Ontario Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
105,2733068 Ontario Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
106,MarshallZehr Grou,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
107,Costco Wholesale Canada Ltd,costco.ca,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
108,Redcreek Developments Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Development Company,commercial,0,0,1
109,Oakville Executive Golf Course,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
110,Scotia Mortgage Cor,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,residential,0,0,0
111,Vector Financial Services Ltd,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
112,2841114 Ontario Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
113,CIRT Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
114,Gavia Construction Ltd,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
115,Bethel Gospel Tabernacle (Hamilton) Inc,bgthamilton.com,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Other,general,0,0,0
116,Spina&#039;s Steel Workers Co Ltd,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
117,Home Trust Co,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Trust Company,general,0,0,0
118,May Stone Investments Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
119,Ekasa Hospitality Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
120,Arch Insurance Canada Ltd,archinsurance.com,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
121,Bell Canada,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,general,0,0,0
122,Cachet Harbour Clarkway Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
123,Hazelview MR V (Europe) GP Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
124,Hazelview Canadian Multi-Residential V GP Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,residential,0,0,0
125,Liari Investments Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
126,Alterna Savings and Credit Union Ltd,alterna.ca,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
127,Banwell Property Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Development Company,general,0,0,0
128,Sun Life Assurance Company of Canada,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Insurance Company,general,0,0,0
129,MarshallZehr Group Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
130,CPW Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
131,11250728 Canada Inc,canadaincredible.com,,2023-12-02 13:34:24,'2023-10-30 12:43:01'),Other,general,0,0,0
132,10943916 Canada Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
133,BCMP Mortgage Investment Cor,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
134,Almada Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
135,2580119 Ontario Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
136,1044971 Ontario Ltd,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
137,Industrial and Commercial Bank of China,icbc.com.cn,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Major Bank,commercial|industrial,0,0,1
138,Duca Financial Services Credit Union Ltd,duca.com,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
139,BG Advisory Services Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,general,0,0,0
140,Institutional Mortgage Capital Canada Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
141,Sun Valley (Danforth Rd) Land Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,land,1,0,0
142,The Manufacturers Life Insurance Co,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Insurance Company,general,0,0,0
143,2696739 Ontario Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,general,0,0,0
144,TRG (New-Guelph) Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,general,0,0,0
145,511437 Ontario Ltd,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
146,Famee Furlane Toronto,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,general,0,0,0
147,Jot Holdings Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
148,MCAP Financial Cor,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Credit Union,general,0,0,0
149,Prabh Holdings Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
150,255156 Ontario Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,general,0,0,0
151,Caledon Development #2 LP,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Development Company,general,0,0,0
152,2848498 Ontario Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,general,0,0,0
153,1000033635 Ontario Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,general,0,0,0
154,Syrier Holdings Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
155,Armdale Estates Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,general,0,0,0
156,Coast Capital Savings Federal Credit Unio,coastcapitalsavings.com,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Private Lender,commercial,0,0,1
157,Karalee Developments Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
158,1423320 Ontario Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
159,Choice Properties GP Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Development Company,general,0,0,0
160,Vinfab Investments Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
161,109-117 Langstaff Inv Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
162,Sorge Enterprises Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
163,2110164 Ontario Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
164,Her Majesty the Queen in right of Ontario as represented by the Minister of Government and Consumer Service,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
165,Your Neighbourhood Credit Union Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
166,Her Majesty the Queen in right of Ontario as represented by the Minister of Municipal Affairs and Housing,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
167,AKSM Properties Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Development Company,general,0,0,0
168,1183152 Ontario Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
169,Computershare Trust Co of Canada,computershare.com,,2023-12-02 13:34:42,'2023-10-30 12:43:01'),Trust Company,general,0,0,0
170,LDB Holdings Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
171,Addenda Capital Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
172,Empirical Capital Cor,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
173,2457602 Ontario Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
174,Caisse Desjardins Ontario Credit Union Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
175,Devjo Holdings Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
176,KDM Corporatio,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
177,Colmusa LLC,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Other,general,0,0,0
178,HMT Holdings Inc,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
179,Folkrich Enterprises Inc,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,general,0,0,0
180,QuadReal Real Estate Debt (Canada) GP Inc,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,general,0,0,0
181,The Independent Order of Forester,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,general,0,0,0
182,Hullmark (102 Atlantic) Ltd,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
183,First Capital Holdings (Ontario) Cor,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
184,Meschino Bros Ltd,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
185,Quid Pro Capital Inc,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
186,Mercedes-Benz Financial Services Canada,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Credit Union,general,0,0,0
187,Mercedes-Benz Financial Services Canada Cor,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Credit Union,general,0,0,0
188,Colborne Estate Company Ltd,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
189,Comwood Holdings Cor,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
190,915643 Ontario Inc,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,general,0,0,0
191,Aarti Real Estate Enterprises Inc,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,general,0,0,0
192,Foremost Mortgage Holding Cor,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,residential,0,0,0
193,Atlas Development Ltd,atlashxm.com,,2023-12-02 13:34:42,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
194,502 Holdings Inc,502holdingsinc.ca,,2023-12-02 13:34:42,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
195,Hanard Capital Cor,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
196,K Lepage (One) Developments Inc,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Development Company,general,0,0,0
197,Toronto Waterfront Revitalization Cor,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,general,0,0,0
198,The School Sisters of Notre Dame of Ontario,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,general,0,0,0
199,C &amp; K Mortgage Services Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Other,residential,0,0,0
200,First National Financial GP Cor,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Credit Union,general,0,0,0
201,Marz Homes Holdings Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
202,Dunloe Developments Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Development Company,general,0,0,0
203,2486210 Ontario Ltd,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
204,2360083 Ontario Ltd,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
205,2661297 Ontario Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Other,general,0,0,0
206,2438747 Ontario Ltd and 9 other,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
207,Canadian Imperial Bank of Canada,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
208,TC Core GP Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Other,general,0,0,0
209,Prima Vista Estates Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Other,general,0,0,0
210,Hanna&#039;s Landing Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Other,land,1,0,0
211,Romandale Farms Ltd,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
212,Tweed Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
213,WA Spratt &amp; Sons Ltd,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
214,Sobeys Capital Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
215,Cobeys Capital Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
216,Beyond Westminster2 Canada ULC,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
217,Radaja Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
218,Ontario Power Generatio,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
219,Fiera Private Debt Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
220,1263917 Ontario Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
221,Brookvalley Wasaga Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
222,Portage Captial Nominee Cor,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
223,1413522 Ontario Ltd,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
224,1000300206 Ontario Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Other,general,0,0,0
225,Queblo Properties Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Development Company,general,0,0,0
226,Hue Developments &amp; Investments Canada Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Development Company,general,0,0,0
227,Ducimus Capital Inc,,,2023-10-13 11:00:17,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
228,Tandia Financial Credit Union Ltd,tandia.com,,2023-12-02 13:34:33,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
229,2380416 Ontario Inc,,,2023-10-13 11:00:18,'2023-10-30 12:43:01'),Other,general,0,0,0
230,Bro-Ham Properties Inc,,,2023-10-13 11:00:18,'2023-10-30 12:43:01'),Development Company,general,0,0,0
231,Jackson Heights Developments Inc,,,2023-10-13 11:00:18,'2023-10-30 12:43:01'),Development Company,general,0,0,0
232,9355-9797 Quebec Inc,,,2023-10-13 11:00:18,'2023-10-30 12:43:01'),Other,general,0,0,0
233,Briva Finance (Commandite) Inc,,,2023-10-13 11:00:18,'2023-10-30 12:43:01'),Other,general,0,0,0
