1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
3042,Serland Holdings Inc,,,2023-11-24 21:40:31,'2023-11-24 21:40:31'),Private Lender,land,1,0,0
3043,NGE Land Inc,,,2023-11-24 21:40:31,'2023-11-24 21:40:31'),Other,land,1,0,0
3101,Leland Land Unlimited Liability Co,,,2023-11-24 21:40:54,'2023-11-24 21:40:54'),Other,land,1,0,0
3204,Luseland Credit Union Ltd,,,2023-11-27 10:48:43,'2023-11-27 10:48:43'),Major Bank,land|commercial,1,0,1
3218,Gorski Land Holdings Inc,,,2023-11-27 10:48:47,'2023-11-27 10:48:47'),Private Lender,land,1,0,0
3303,Edmar Land Ltd,,,2023-11-27 10:49:14,'2023-11-27 10:49:14'),Major Bank,land,1,0,0
3317,Sylvan Land &amp; Building Cor,,,2023-11-27 10:49:21,'2023-11-27 10:49:21'),Other,land,1,0,0
3333,South Bouffard Land Development Inc,,,2023-11-27 10:49:26,'2023-11-27 10:49:26'),Development Company,land,1,0,0
3508,Hooneycut Land Inc,,,2023-11-28 14:58:03,'2023-11-28 14:58:03'),Other,land,1,0,0
3732,Midland 8 Motel Ltd,,,2023-11-30 12:57:38,'2023-11-30 12:57:38'),Major Bank,land|hospitality,1,0,0
3931,17300 Island Road Management Services Inc,,,2023-12-03 16:44:51,'2023-12-03 16:44:51'),Other,land,1,0,0
3957,JSW Land &amp; Cattle Company Ltd,,,2023-12-03 16:45:07,'2023-12-03 16:45:07'),Major Bank,land,1,0,0
3963,Ruland Realty Ltd,,,2023-12-03 16:45:10,'2023-12-03 16:45:10'),Major Bank,land,1,0,0
3965,Panetta Land Cor,,,2023-12-03 16:45:10,'2023-12-03 16:45:10'),Other,land,1,0,0
3988,Tropical Land Developments Ltd,,,2023-12-03 16:45:17,'2023-12-03 16:45:17'),Major Bank,land,1,0,0
3996,White Water &amp; Wild Lands Tours Ltd,,,2023-12-03 16:45:20,'2023-12-03 16:45:20'),Major Bank,land,1,0,0
4067,Aliena Land Cor,,,2023-12-05 17:46:06,'2023-12-05 17:46:06'),Other,land,1,0,0
4114,Uxland Development (West) Inc,,,2023-12-06 18:40:05,'2023-12-06 18:40:05'),Development Company,land,1,0,0
4116,259 Yorkland Property Holdings Inc,,,2023-12-06 18:40:06,'2023-12-06 18:40:06'),Private Lender,land,1,0,0
4244,Legacy Land Hamilton Inc,,,2023-12-08 20:20:02,'2023-12-08 20:20:02'),Other,land,1,0,0
4283,Holland Green Developments Inc,,,2023-12-08 20:20:20,'2023-12-08 20:20:20'),Development Company,land,1,0,0
4311,Cortland Capital Market Services LLC,,,2023-12-08 20:20:38,'2023-12-08 20:20:38'),Private Lender,land,1,0,0
4342,Landcon Ltd,,,2023-12-11 14:00:17,'2023-12-11 14:00:17'),Major Bank,land,1,0,0
4355,Reserve Land Corporatio,,,2023-12-11 14:00:22,'2023-12-11 14:00:22'),Other,land,1,0,0
4370,Maitland Arms Apartments Inc,,,2023-12-11 14:00:31,'2023-12-11 14:00:31'),Other,land,1,0,0
4421,Ontario Infrastructure and Lands Cor,,,2023-12-11 14:00:54,'2023-12-11 14:00:54'),Other,land,1,0,0
4427,Yorkland Research Cor,,,2023-12-11 14:00:56,'2023-12-11 14:00:56'),Other,land,1,0,0
4449,Lakeland Machinists Inc,,,2024-01-23 16:25:59,'2024-01-23 16:25:59'),Other,land,1,0,0
4458,Parkland Cor,,,2024-01-23 16:26:06,'2024-01-23 16:26:06'),Other,land,1,0,0
4596,Baikinson Land Cor,,,2024-04-16 02:20:55,'2024-04-16 02:20:55'),Other,land,1,0,0
4631,The Corporation of the City of Welland,,,2024-06-01 15:59:16,'2024-06-01 15:59:16'),Other,land,1,0,0
4655,Glandine Farms Ltd,,,2024-06-01 16:41:10,'2024-06-01 16:41:10'),Major Bank,land|agricultural,1,0,0
4687,Welland Forge Land Cor,,,2024-06-03 16:40:04,'2024-06-03 16:40:04'),Other,land,1,0,0
4765,Erland Investments Inc,,,2024-06-27 12:43:58,'2024-06-27 12:43:58'),Other,land,1,0,0
4818,Legacy Lands Lake Erie Inc,,,2024-06-27 12:44:16,'2024-06-27 12:44:16'),Other,land,1,0,0
4873,Landmark Homes Inc,,,2024-10-03 12:21:25,'2024-10-03 12:21:25'),Other,land,1,0,0
4882,Habitat for Humanity Heartland Ontario Inc,,,2024-10-03 13:40:57,'2024-10-03 13:40:57'),Other,land,1,0,0
4910,1000 Islands Community Development Cor,,,2024-10-28 16:12:24,'2024-10-28 16:12:24'),Development Company,land,1,0,0
4942,Gosfield Land Company Ltd,,,2025-01-09 19:50:12,'2025-01-09 19:50:12'),Major Bank,land,1,0,0
4985,Dutton Land Holdings Inc,,,2025-01-09 19:50:40,'2025-01-09 19:50:40'),Private Lender,land,1,0,0
4996,Cumberland Tenth Line Road GP Inc,,,2025-01-10 03:20:20,'2025-01-10 03:20:20'),Other,land,1,0,0
5032,St John&#039;s Bay Land Company Ltd,,,2025-02-02 00:11:26,'2025-02-02 00:11:26'),Major Bank,land,1,0,0
5091,Lakeland Meadows Ltd,,,2025-09-08 14:30:16,'2025-09-08 14:30:16'),Major Bank,land,1,0,0
