(1,'Canal City Realty Limited','Thorold','Niagara S','','','Serge Anthony Carpino','2023-12-20 16:16:14','2023-12-20 16:16:14'),
(64,'Century 21 Kennect Realty Inc.','Markham','York Region','c21.ca','','Rowena Siu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(65,'Century 21 King\'s Quay Real Estate Inc','Markham','York Region','','','Kwan-lum Chow','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(66,'Century 21 Landunion Homenet Realty Inc.','Markham','York Region','zhujia.ca','','Bo Xu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(67,'Century 21 Landunion Matchome Realty Inc.','Markham','York Region','','','Shujie Mei','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(68,'Century 21 Landunion Realty Inc.','Markham','York Region','','','Ruijuan Susan Wu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(69,'Century 21 Leading Edge Experia Realty Inc.','Markham','York Region','','','Hua Shu Hu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(70,'Century 21 Parkland Ltd','Markham','York Region','century21.ca','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(71,'Century 21 South Breeze Realty Inc.','Markham','York Region','','','May Kit Young','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(72,'Chestnut Park Real Estate Limited','Markham','York Region','','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(73,'City Plus Realty Inc.','Markham','York Region','','','Anita Siu Shan Woo','2024-01-31 12:11:50','2023-12-20 16:17:13'),
(74,'City Wide Professionals Inc.','Markham','York Region','citywideprofessionals.com','','John Em Tran','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(75,'Classic Realty Inc','Markham','York Region','','','Diamondali Kamrudin Sunderani','2024-01-31 12:11:50','2023-12-20 16:17:13'),
(76,'Connell Real Estate Ltd','Markham','York Region','connellrealestate.com','','Fraser John Connell','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(77,'Cornerstone Marketing Realty Inc.','Markham','York Region','cornerstonemarketing.ca','','Johnson Kai Chiu Cheng','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(78,'Creekside Realty Inc.','Markham','York Region','','','Huiqi Zhang','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(79,'Crown Home Realty Inc.','Markham','York Region','','','Nancy L. S. Chan','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(80,'Culturelink Realty Inc.','Markham','York Region','culturelinkgroup.com','','Gallan Hui','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(81,'Cushman & Wakefield Ulc','Markham','York Region','','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(82,'Cypro Realty Inc.','Markham','York Region','cypro.ca','','Dan Xiao','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(83,'Dolphin Realty Inc.','Markham','York Region','dolphinrealty.ca','','Lu Jia','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(84,'Done Deal Realty Inc.','Markham','York Region','amritthukral.com','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(85,'Dosman Real Estate Services Inc.','Markham','York Region','','','Michael F. Dosman','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(86,'Dream Home Realty Inc.','Markham','York Region','','','Zhu Wang','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(87,'Dsma Real Estate Inc.','Markham','York Region','dsma.com','','Monte Christian Weis','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(88,'Eastide Realty Inc.','Markham','York Region','','','Xinhong Lin','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(89,'Elite Capital Realty Inc','Markham','York Region','','','Grace Lau','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(90,'Enso Realty Inc.','Markham','York Region','ensorealty.ca','','Jane Chi-yan Fung','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(91,'Epic Realty Inc.','Markham','York Region','','','Yang Yan Li','2024-01-29 17:32:34','2023-12-20 16:17:13'),
(92,'Epl Investment Realty Limited','Markham','York Region','','','John Nassr','2024-01-31 12:11:50','2023-12-20 16:17:13'),
(93,'Equinox Arora Realty Inc.','Markham','York Region','equinoxarorarealty.com','','Samir Kumar Arora','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(94,'Estar Real Estate Corporation','Markham','York Region','','','Shi Dong Zhang','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(95,'Estay Realty Brokerage Inc.','Markham','York Region','','','Zhengjun Hao','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(96,'Excel-first Realty Inc.','Markham','York Region','excelgroup.ca','','Paul Chi K Cheng','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(97,'Excellent Realty Ltd','Markham','York Region','','','Wing-yun Kwan','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(98,'Ey Homes Realty Inc.','Markham','York Region','','','De Feng','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(99,'Ferrow Real Estate Inc.','Markham','York Region','ferrowrealestate.com','','Freddy Yoong Nian Mak','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(100,'First Class Realty Inc.','Markham','York Region','firstclassrealty.ca','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(101,'Foryou Real Estate Inc.','Markham','York Region','','','Rajeev Narang','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(102,'Four Points Realty Inc.','Markham','York Region','','','Sandeep Kaur','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(103,'Givalas Real Estate Ltd.','Markham','York Region','','','Nick Givalas','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(104,'Global Link Realty Group Inc.','Markham','York Region','','','Dundas Wing Hung Kwok','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(105,'Golden Ridge Realty Inc.','Markham','York Region','royallepage.ca','','Shu Zhou','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(106,'Goudy Real Estate Corp.','Markham','York Region','','','Leonard Arthur Goudy','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(107,'Green Home Works Realty Inc.','Markham','York Region','greenhomeworks.ca','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(108,'Harborelite Realty Inc.','Markham','York Region','','','Dingchen Guo','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(109,'Home Legend Realty Inc. Brokerage','Markham','York Region','','','Jun Jiang','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(110,'Home One Realty Inc.','Markham','York Region','','','Ke Qin Chen','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(111,'Homeart Realty Services Inc.','Markham','York Region','homeartrealty.com','','Arthur Pak Yu','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(112,'Homelife Broadway Realty Inc.','Markham','York Region','','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(113,'Homelife Culturelink Realty Inc.','Markham','York Region','culturelinkgroup.com','','Elaine L.w. Hui','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(114,'Homelife Excelsior Realty Inc.','Markham','York Region','','','Victor Sing','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(115,'Homelife Golconda Realty Inc.','Markham','York Region','hlgolconda.com','','Yoon Choy Wong','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(116,'Homelife Landmark Realty Inc.','Markham','York Region','homelifelandmark.com','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(117,'Homelife Top Star Realty Inc.','Markham','York Region','homelifetopstar.com','','Vaithilingam Jayasiri','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(118,'Homelife/bayview Realty Inc.','Markham','York Region','homelifebayview.com','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(119,'Homelife/future Realty Inc.','Markham','York Region','','','Selvadurai Vettyvel','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(120,'Homelife/gold Trade Realty Ltd.','Markham','York Region','goldtraderealty.com','','Jimmy Jimorthy Chun Kou Wong','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(121,'Homelife/leader Inc.','Markham','York Region','','','Paul C W Lau','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(122,'Homelife/prohill Realty Ltd.','Markham','York Region','','','Sandra Filice','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(123,'Homeliving Empire Realty Inc.','Markham','York Region','','','Guang Yan Wang','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(124,'Homepin Realty Inc.','Markham','York Region','','','My Ngoc Tran','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(125,'Homespot Corporation','Markham','York Region','c21heritagegroup.ca','','Ronald Prescott','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(126,'Homeward Inc.','Markham','York Region','','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(127,'Housesigma Inc.','Markham','York Region','housesigma.com','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(128,'Ht International Realty Inc.','Markham','York Region','','','Raymond L Nie','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(129,'Iliv Realty Inc','Markham','York Region','ilivrealty.ca','','Balika Kanagalingam','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(130,'International Home Marketing Group Realty Inc.','Markham','York Region','ihmg.ca','','Stephen Wong','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(131,'Ipoe Corporation','Markham','York Region','','','James C Li','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(132,'Iqi Global Real Estate Ltd','Markham','York Region','iqicanada.com','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(133,'Ireps Toronto Realty Corp.','Markham','York Region','ireps.ca','','Alex Sirmalis','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(134,'Jdl Realty Inc.','Markham','York Region','','','','2023-12-20 16:17:13','2023-12-20 16:17:13'),
(135,'Jenfort Realty Inc.','Markham','York Region','','','Raymond Y.h. Kan','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(136,'Joynet Realty Inc.','Markham','York Region','joynetrealty.ca','','Zhijun Wang','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(137,'Kashmax Real Estate Inc.','Markham','York Region','kashmax.ca','','Ahsan Pervaiz','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(138,'Kee Plus Realty Ltd.','Markham','York Region','','','Malcolm John Cho-kee','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(139,'Ken Chan Realty Inc.','Markham','York Region','','','Beibei Xie','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(140,'Landing Realty Inc.','Markham','York Region','landingrealty.ca','','Chong Deng','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(141,'Landpower Real Estate Ltd.','Markham','York Region','landpower.ca','','Stephen Chi Wan Li','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(142,'Landview Realty Ltd','Markham','York Region','','','Keyvan Shahrokhi','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(143,'Lennard Commercial Realty Ltd.','Markham','York Region','lennard.com','','','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(144,'Lifestyle/yonge Realty Inc.','Markham','York Region','','','Shahram Shokouhi','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(145,'Lin\'s Global Realty Corporation','Markham','York Region','linsglobalrealty.ca','','Fen Lin','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(146,'Living Realty Inc','Markham','York Region','livingrealty.com','','','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(147,'Livingmaple Realty Inc.','Markham','York Region','','','Qian Dai','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(148,'Lsg Realty Inc.','Markham','York Region','','','Malihe Esmaeili','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(149,'Luxury Homes World Inc.','Markham','York Region','luxuryhomesworld.com','','Inthiran Swamy','2023-12-20 16:17:14','2023-12-20 16:17:14'),
(150,'Maratex Realty Inc.','Markham','York Region','','','Maryann Dipaola','2024-01-31 12:11:50','2023-12-20 16:17:14'),
(151,'Markham Centre Realty Inc.','Markham','York Region','','','Susan Y Y Wong','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(152,'Master\'s Choice Realty Inc.','Markham','York Region','','','Bin Ji','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(153,'Master\'s Trust Realty Inc.','Markham','York Region','','','Bing Liu','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(154,'Meta Realty Inc.','Markham','York Region','metarealtyinc.ca','','Jake Edward Steinman','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(155,'Mfs Realty Services Inc.','Markham','York Region','mfsrealty.com','','Thomas Bentley Mcgrath','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(156,'Mypro Realty Inc.','Markham','York Region','c21myprorealty.com','','Bingbing Jiang','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(157,'Nation Wide Realty Inc.','Markham','York Region','','','Hooshfar Rokni Pezeshkian','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(158,'New Continent International Limited','Markham','York Region','','','Xi Sidney Liu','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(159,'New Home Inc.','Markham','York Region','','','Honglei Dong','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(160,'New Vision Capital Realty Inc.','Markham','York Region','','','Xiao Dong Duan','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(161,'Newbridge Realty Inc.','Markham','York Region','nationwideappraisals.com','','Thomas Walter Mccormick','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(162,'Newcondo Inc.','Markham','York Region','newcondo.ca','','Min Qian','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(163,'Norman Hill Realty Inc.','Markham','York Region','normanhill.com','','Warren D. Hill','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(164,'Pan-national Real Estate Ltd','Markham','York Region','','','Demetre Sklavos','2024-01-31 12:11:50','2023-12-20 16:17:15'),
(165,'Peter Kwan Realty Inc.','Markham','York Region','pkwan.com','','Philip Ching Kin Kwan','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(166,'Pma Brethour Real Estate Corporation Inc.','Markham','York Region','pmabrethour.com','','Andrew R Brethour','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(167,'Popular Real Estate Inc.','Markham','York Region','baystreetgroup.ca','','Dan Yang Zhao','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(168,'Powers Real Estate Limited','Markham','York Region','powersproperty.com','','David Ciastko','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(169,'Premier Group Realty Inc.','Markham','York Region','pgrealty.ca','','Manjit Banwait','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(170,'Prestigium Real Estate Ltd','Markham','York Region','prestigiumgroup.com','','Tong Wang','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(171,'Property Max Realty Inc.','Markham','York Region','','','Muthuthamby Sanmugathas','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(172,'Proptech Realty Inc.','Markham','York Region','proptechrealtors.com','','Wenhao Zhu','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(173,'Proxy Realty Ltd.','Markham','York Region','','','Zohreh Hemati','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(174,'Public Trust Realty Inc.','Markham','York Region','','','Kashif Naveed','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(175,'Quintillion Realty Inc.','Markham','York Region','','','Daniel M. Ho Lung','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(176,'Radisson Realty Inc.','Markham','York Region','radissonrealty.com','','Bo Jia','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(177,'Rc Best Choice Realty Corp','Markham','York Region','','','Wenming Cheng','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(178,'Rd&co. Realty Inc','Markham','York Region','','','Travis Nikkolas Clarke Mofford','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(179,'Re/max All-stars Realty Inc.','Markham','York Region','remaxallstars.ca','','Janet M Keen','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(180,'Re/max Crossroads Realty Incorporated','Markham','York Region','topremax.ca','','Raka Paul','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(181,'Re/max Excel Realty Ltd.','Markham','York Region','','','Joseph Chi Ho Wong','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(182,'Re/max Goldenway Realty Inc','Markham','York Region','','','','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(183,'Re/max Imperial Realty Inc.','Markham','York Region','','','Guiming Cai','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(184,'Re/max Realtron Realty Inc','Markham','York Region','','','Alexander Pilarski','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(185,'Re/max Realtron Tns Realty Inc.','Markham','York Region','','','Tony Chan','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(186,'Real/net Realty Inc.','Markham','York Region','remaxrealtron.com','','Marilyn P Pilarski','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(187,'Realtrium Realty Ltd.','Markham','York Region','realtrium.com','','Sivakanthan Sivagnanam','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(188,'Realty Associates Inc.','Markham','York Region','','','Vanisha Vasta','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(189,'Realty Wealth Group Inc.','Markham','York Region','','','Sebastien Ballin','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(190,'Reon Homes Realty Inc','Markham','York Region','','','Justin M William','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(191,'Rh Realty Inc','Markham','York Region','rhrealty.ca','','Yi Zeng','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(192,'Richland Real Estate Marketing & Sales Inc.','Markham','York Region','richlandrems.com','','Eric Yee Lai Wong','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(193,'Rife Realty Inc.','Markham','York Region','','','Lei Zhang','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(194,'Rosemount Realty And Associates Ltd.','Markham','York Region','rosemountrealty.ca','','Ramaan Kangatharan','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(195,'Royal Canadian Realty Brokers Inc.','Markham','York Region','royalcanadianrealty.com','','','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(196,'Royal Elite Jerry Wen Realty Inc.','Markham','York Region','','','Zong Xue Wen','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(197,'Royal Elite Realty Inc.','Markham','York Region','','','Meng Zhang','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(198,'Royal Elite Skyline Realty Inc.','Markham','York Region','','','Hongfang Li','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(199,'Royal Life Realty Inc.','Markham','York Region','trebnet.com','','Shoufeng Zhang','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(200,'Royal Properties Realty Ltd.','Markham','York Region','remaxroyal.ca','','','2023-12-20 16:17:15','2023-12-20 16:17:15'),
(201,'Silwin Real Estate Ltd','Markham','York Region','','','Michelle A. Blackwin','2024-01-31 12:11:50','2023-12-20 16:17:16'),
