brokerage,total_agents,with_email,email_percentage
CDN Global (Ottawa) Ltd,4,4,100.0%
Peak Real Estate,4,3,75.0%
RE/MAX Hallmark Realty Group,4,3,75.0%
McGarr Realty Corp,4,4,100.0%
Micor Realty Corp,4,4,100.0%
Spear Realty Inc,4,4,100.0%
Century 21 Explorer Realty,4,3,75.0%
Avison Young Commercial Real Estate Services,4,1,25.0%
Century 21 Green Realty,4,3,75.0%
Armani &amp; Associates,4,3,75.0%
RE/MAX Realtron Realty Inc,4,3,75.0%
Moffat Dunlap Real Estate,4,4,100.0%
B &amp; M Losier Realty,4,2,50.0%
Prime Commercial Real Estate,4,4,100.0%
"CB Richard Ellis: Frank Protomanni &amp; Fraser McKenna, 416-494-0600Colliers International",4,2,50.0%
Milborne Real Estate,4,4,100.0%
Realty Executives of Sudbury Ltd,4,4,100.0%
Keller Williams Signature Realty,4,4,100.0%
Homelife Professional Realty,4,4,100.0%
"Brent Rudell &amp; Andrew Johnson, 519-438-5608 Sutton Group Preferred Realty",4,4,100.0%
Century 21 Leading Edge,4,4,100.0%
Sutton Group-Associates Realty Inc,4,4,100.0%
Atlantis Realty Services,4,4,100.0%
Royal Canadian Realty,4,4,100.0%
Sutton Group Security,4,4,100.0%
Sutton Group - First Choice Realty,4,4,100.0%
Savills Inc,4,4,100.0%
Royal LePage NRC Realty,4,4,100.0%
The Behar Group Realty,4,4,100.0%
RE/MAX Realtron,4,4,100.0%
Nucorp Realty,4,4,100.0%
RE/MAX Champions Realty,4,4,100.0%
RE/MAX Streetcity Realty,4,4,100.0%
RE/MAAX Cirt Accord Realty,4,3,75.0%
DNS Real Estate,4,4,100.0%
DNS Real Estate Ltd,4,3,75.0%
First Choice Realty,4,4,100.0%
Coldwell Banker 2M Realty,4,4,100.0%
Exit Realty Matrix,4,4,100.0%
Keller Williams Energy Real Estate,4,4,100.0%
Keller Williams Lifestyles Realty,4,4,100.0%
RE/MAX Professionals Realty,4,4,100.0%
Royal LePage Lannon Realty,4,3,75.0%
Creppin Realty Group,4,4,100.0%
RE/MAX Eastern Realty,4,4,100.0%
Century 21 Atria Realty,4,2,50.0%
Century 21 Millennium,4,4,100.0%
Royal LePage Burloak Realty,4,2,50.0%
Grosman Realty Ltd,4,2,50.0%
"Keller Williams Experience Realty: Ian Hocking, 705-252-7939Cushman &amp; Wakefield Ltd",4,4,100.0%
Barnicke Myers Ltd,4,2,50.0%
Rego Realty,4,3,75.0%
RE/MAX Diamond Realty,4,4,100.0%
Sutton - Sadie Moranir Realty,4,4,100.0%
DTZ London Windsor Sarnia,4,4,100.0%
Manor Windsor Realty Ltd,4,4,100.0%
Accsell Realty,4,4,100.0%
Marel Real Estate,4,4,100.0%
Magic Realty,4,4,100.0%
Plus Realty Ltd,4,4,100.0%
DTZ London,4,4,100.0%
L.G. Realty Inc,4,4,100.0%
Capital Commercial Real Estate Services Inc,4,4,100.0%
Adam H Morgan Real Estate,4,4,100.0%
Homelife/Leader Inc,4,4,100.0%
Capital City Realty,4,4,100.0%
Gleed Inc,4,4,100.0%
Urban Real Estate,4,4,100.0%
Secure Capital,4,4,100.0%
Sutton Group Innovative Realty,4,4,100.0%
The Effort Trust Company,4,4,100.0%
WinCorp Realty,4,4,100.0%
Homelife/Cimerman Real Estate Limited,4,4,100.0%
Belstar Realty Inc,4,4,100.0%
Fram Building Group,4,4,100.0%
Niagara on-the-Lake Realty,4,4,100.0%
PSR Brokerage,4,4,100.0%
RE/MAX A-B Realty Ltd,4,4,100.0%
Gord Wyllie Real Estate Ltd,4,4,100.0%
RE/MAX Connex Realty,4,2,50.0%
Sutton Group Preferred Realty,4,3,75.0%
Royal Star Realty,4,3,75.0%
Ambitious Realty Advisors,4,4,100.0%
Royal LePage Royal City Realty,4,4,100.0%
Cresa Capital Partners,4,3,75.0%
Skyview Realty,4,4,100.0%
Synercapital Real Estate Investment,4,4,100.0%
Ambitious Realty,4,4,100.0%
RE/MAX Realty Enterprises,4,4,100.0%
Royal LePage Connect Realty,4,4,100.0%
Coldwell Banker Case Realty,4,4,100.0%
Kingsway Real Estate,4,4,100.0%
JLL,4,4,100.0%
Evanoff Real Estate Ltd.,4,0,0.0%
Family Realty Cosmo City Inc.,4,0,0.0%
Bijan Barati Real Estate Corporation,4,0,0.0%
Concert Realty Services Ltd.,4,0,0.0%
Homelink Realty Ltd.,4,0,0.0%
Hometon Inc.,4,0,0.0%
2527377 Ontario Inc.,4,0,0.0%
13337511 Canada Inc.,4,0,0.0%
Homelife Miracle Imperial Realty Ltd.,4,0,0.0%
Sturino Realty Limited,4,0,0.0%
Lc Realty Inc.,4,0,0.0%
Mcarthur & Son Real Estate Ltd,4,0,0.0%
Onestop Team Realty Inc.,4,0,0.0%
Signature Realty Point Inc.,4,0,0.0%
CLV Realty Corp,3,3,100.0%
Rogers &amp; Trainor Commercial Realty Inc,3,1,33.3%
Axis Realty,3,2,66.7%
Realty Executive Experts Inc,3,2,66.7%
Realty Advisors Ltd,3,2,66.7%
Homelife Landmark Realty Inc,3,1,33.3%
Re/Max Commercial Focus,3,3,100.0%
Gilbert Realty Inc,3,2,66.7%
Royal LePage Don Hamilton Real Estate,3,3,100.0%
Hunterra Real Estate Brokerage,3,3,100.0%
Source 4 Realty Inc,3,3,100.0%
RE/MAX Hallmark A Team,3,2,66.7%
Century 21 Regal Realty Inc,3,2,66.7%
City Commercial Realty Group,3,2,66.7%
Elite Capital Realty,3,2,66.7%
New Continent Realty,3,3,100.0%
Sutton Group Admiral Realty Inc,3,3,100.0%
Pantalone Realty,3,2,66.7%
Royal LePage Kingsbury Realty,3,2,66.7%
Avison Young Commercial Real Estate,3,3,100.0%
RE/MAX Reliable Realty,3,2,66.7%
Keller Williams Innovation Realty,3,2,66.7%
Bowes &amp; Cocks Ltd,3,2,66.7%
Mincom Kawartha Lakes Realty,3,2,66.7%
Canadian Commercial Realty,3,3,100.0%
Royal LePage First Contact Realty,3,2,66.7%
Manor Windsor Realty,3,3,100.0%
Petrus Realty,3,2,66.7%
Nordale Realty &amp; Associates,3,2,66.7%
Deerbrook Realty Inc,3,1,33.3%
Century 21 Leading Edge Realty Inc,3,2,66.7%
Kolt Keller Williams Real Estate Associates,3,1,33.3%
CBRE Limited,3,3,100.0%
Landpower Real Estate,3,3,100.0%
CMA Realty Ltd,3,3,100.0%
M Commercial Realty,3,2,66.7%
Real Broker Ontario Ltd,3,1,33.3%
RE/MAX Crown Realty Inc,3,2,66.7%
Sutton Group Heritage Realty Inc,3,2,66.7%
RE/MAX Real Estate Centre Team Arora Realty,3,1,33.3%
RE/MAX Capital Diamond Realty,3,3,100.0%
"Jones Lang LaSalle Real Estate Services, Inc",3,3,100.0%
Bay Street Group Inc,3,2,66.7%
RE/MAX Gold Realty Inc,3,2,66.7%
StreetCity Realty Inc,3,2,66.7%
Rouse Realty Advisors,3,3,100.0%
Homelife New World Central Realty,3,3,100.0%
Royal LePage Realty Centre,3,3,100.0%
RE/MAX Legacy Realty,3,1,33.3%
Heilbut Commercial Realty,3,1,33.3%
RE/MAX Twin City,3,3,100.0%
Chestnut Park West,3,3,100.0%
Homelife Maple Leaf Realty,3,3,100.0%
Sutton Group - Bayview Realty,3,3,100.0%
Sutton Group Heritage,3,3,100.0%
Royal LePage Your Community,3,3,100.0%
Nucorp Reality,3,3,100.0%
The Behar Group Realty Inc,3,2,66.7%
Global Realty Partners,3,3,100.0%
Century 21 Insight Realty,3,3,100.0%
Coldwell Banker Sarazen,3,3,100.0%
Peak Realty,3,3,100.0%
Century 21 Kings Quay,3,3,100.0%
P.G. Gagne Commercial Real Estate,3,3,100.0%
Avsion Young,3,2,66.7%
Sutton West Realty,3,3,100.0%
Sutton Group Admiral Realty,3,3,100.0%
RE/MAX Orillia (1996),3,3,100.0%
District Realty Corp,3,3,100.0%
Go West Realty,3,3,100.0%
Homelife/GTA Realty,3,3,100.0%
Shorn Realty Inc,3,3,100.0%
Par-Med Realty,3,3,100.0%
CLV Group,3,3,100.0%
Petrus Commercial Realty Corp,3,3,100.0%
IPA Marcus &amp; Millichap,3,3,100.0%
RE/MAX Rouge River Realty,3,3,100.0%
Key Exchange Team Real Estate Ltd,3,3,100.0%
Keller Williams Integrity Realty,3,3,100.0%
McCor Realties (Ontario) Inc,3,3,100.0%
Homelife Best-Seller,3,3,100.0%
Main Street Realty,3,3,100.0%
Realosophy Realty Inc,3,3,100.0%
RE/MAX Core Realty,3,3,100.0%
RE/MAX Affiliates Boardwalk,3,3,100.0%
Coldwell Banker Essential Realty,3,3,100.0%
Homelife Classic Realty,3,3,100.0%
