6806,Blesview Poultry Farm Ltd,4825 Salem Rd,Watford,Ontario,N0M 2S0,,2023-06-01,,,2023-10-12 10:31:28,2023-10-30 12:42:37
13401,1939552 Ontario Inc,3406 Newhaven Grove,Vineland,Ontario,L0R 2C0,905-562-5606,2017-04-28,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13402,2230871 Ontario Inc,5688 Elcho Rd,Wellandport,Ontario,L0R 2J0,905-386-6576,2017-04-28,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13403,McIntyre McMurray,,Kitchener,Ontario,N2B 2A6,519-576-7360,2017-04-27,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13404,SMRF Ontario Ltd,397 Meadowsweet Ave,Waterloo,Ontario,N2V 0A6,519-748-6933,2017-04-27,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13405,Yoke Group Inc,415 King St,Hamilton,Ontario,L8N 1C4,289-426-5692,2017-04-27,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13406,Sealink Properties Ltd,17 Main St N,Waterdown,Ontario,L0R 2H0,905-635-7159,2017-04-27,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13407,Awardbrand Investment Inc,34 Lynbrook Dr,Hamilton,Ontario,L9C 2K5,,2017-04-26,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13408,Erez Capital (West End Mall) Inc,2345 Yonge St,Toronto,Ontario,M4P 2E5,416-221-8806,2017-04-21,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13409,Winchester Financial Group,"100 Arbors Lane, Unit D",Vaughan,Ontario,L4L 7G4,416-222-5040,2017-04-21,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13410,Kayra Holdings Inc,27 Eastdale Ave,Toronto,Ontario,M4C 4Z8,,2017-04-21,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13411,2220664 Ontario Ltd,,Plymouth,MI,USA - 48170,,2017-04-20,ontario.ca,,2024-04-16 14:48:12,2023-11-04 16:35:42
13412,KingSett Capital Inc,"66 Wellington St W, Ste 4400",Toronto,Ontario,M5K 1H6,416-687-6700,2017-04-20,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13413,Herman Damore Builders Ltd,7651 Cameron Ct,Niagara Falls,Ontario,L2H 3G9,,2017-04-20,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13414,The Diplomat Inn,5983 Stanley Ave,Niagara Falls,Ontario,L2G 3Y2,905-357-9564,2017-04-20,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13415,2382466 Ontario Inc,6 Riverbend Rd,Markham,Ontario,L3R 1K2,,2017-04-19,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13416,Bartman Plumbing Ltd,130 LePage Ct,Toronto,Ontario,M3J 3J1,416-898-0094,2017-04-19,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13417,Rankin Construction Inc,"222 Martindale Rd, RR 3",St Catharines,Ontario,L2R 6P9,905-684-1111,2017-04-18,rankinconstruction.ca,,2023-12-02 13:44:46,2023-11-04 16:35:42
13418,Fothergill Holdings Inc,1039 Toronto St,Newcastle,Ontario,L1B 0B3,,2017-04-18,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13419,Centre Oshawa Properties Inc,17263 Warden Ave,Stouffville,Ontario,L4A 2W1,416-836-2161,2017-04-18,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13420,Saporito Foods Inc,181 Don Park Rd,Markham,Ontario,L3R 1C2,905-944-0505,2017-04-11,,,2023-11-04 16:35:42,2023-11-04 16:35:42
13421,Gatta Homes Inc,"454 Mississauga St, Ste 172",Niagara-on-the-Lake,ON,L0S 1J0,905-468-8867,2017-04-07,gattahomes.com,,2023-12-09 16:46:33,2023-11-04 16:35:42
20182,PACIFIC Inc,"78 Harrison Garden Blvd, Ste 1609",,,M2N 7E2,,2022-03-01,pacificincorporadora.com.br,,2023-12-02 14:00:58,2023-11-17 16:41:28
20183,2505643 Ontario Inc,131 Hodgson Ave,King,Ontario,L7B 0C7,,2022-03-01,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20184,Petrontario Inc,7263 Second Line W,Mississauga,Ontario,L5W 1M7,905-956-1640,2022-03-01,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20185,1562143 Ontario Ltd,12438 Highway 15 N,,,K7A 4S7,,2022-03-01,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20186,Turpin Kia,10563 Trans-Canada Hwy,Carleton Place,Ontario,K7C 0C4,613-253-0909,2022-03-01,turpinkia.ca,,2023-12-02 14:00:59,2023-11-17 16:41:28
20187,The Taha Group of Companies Inc,24 Honeysuckle Cres,,,L9K 1A9,,2022-03-01,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20188,1000026563 Ontario Inc,2140 King St E,Hamilton,Ontario,L8K 1W6,,2022-03-01,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20189,Millards CPA,96 Nelson St,Brantford,Ontario,N3T 5N3,519-759-3511,2022-03-01,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20190,2807378 Ontario Inc,,Sunderland,Ontario,L0C 1H0,,2022-03-31,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20191,Mount Pleasant Farms Inc,5896 Line 16,St Marys,Ontario,N4X 1C4,,2022-03-31,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20192,Bagco Real Estate Holdings Inc,982 Calbeck St,,,C0B 1G0,,2022-03-31,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20193,9388-7644 Quebec Inc,3900 Desserte sud Autoroute Laval E,Laval,Quebec,H7E 5N2,,2022-03-31,,,2023-11-17 16:41:28,2023-11-17 16:41:28
20194,Keewest Corp,"2045 Lake Shore Blvd W, Ste 4401",,,M8V 2Z6,,2022-03-31,,,2023-11-17 16:41:29,2023-11-17 16:41:29
20195,Jawk Holdings Inc,344342 15th Sideroad,Amaranth,Ontario,L9W 2A9,,2022-03-31,,,2023-11-17 16:41:29,2023-11-17 16:41:29
20196,2131876 Ontario Ltd,5299 John Wise Line,,,N5H 2R5,,2022-03-31,,,2023-11-17 16:41:29,2023-11-17 16:41:29
20197,BLKRZ Inc,195 Aldred Dr,Port Perry,Ontario,L9L 1B4,,2022-03-31,,,2023-11-17 16:41:29,2023-11-17 16:41:29
20198,2292093 Ontario Inc,2360 Auto Mall Ave,,,N5V 0B4,,2022-03-31,,,2023-11-17 16:41:29,2023-11-17 16:41:29
20199,2708765 Ontario Inc,2093 Pelkey Rd,London,Ontario,N6G 5L5,519-204-9088,2022-03-31,,,2023-11-17 16:41:29,2023-11-17 16:41:29
26837,Cachet MDRE (Mount Hope) Inc,"361 Connie Cres, Ste 200",Concord,Ontario,L4K 5R2,905-764-1983,2019-01-10,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26838,Clevelands House Ltd,75 Simpson Rd,St Catharines,Ontario,L2R 7P7,,2019-01-10,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26839,Lawrence Gross Ltd,,Toronto,Ontario,M5K 1A2,,2019-01-10,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26840,Clair Plains Services Company Ltd,206 St Clair Ave W,Toronto,Ontario,M4V 1R2,416-920-5546,2019-01-10,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26841,Curtis Properties (Dixie) Inc,"921 Kingston Rd, 2nd Flr",Toronto,Ontario,M4E 1S6,,2019-01-10,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26842,2661618 Ontario Inc,111 Lakeshore Dr,Toronto,Ontario,M8V 2A1,416-259-8769,2019-01-10,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26843,Citipark Inc,"11 King St W, Ste 300",Toronto,Ontario,M5H 4C7,416-868-0773,2019-01-09,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26844,Carttera Management Inc,"20 Adelaide St E, Ste 800",Toronto,Ontario,M5C 2T6,416-593-4747,2019-01-09,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26845,Menkes 320 Bay Holdings Ltd,"4711 Yonge St, Ste 1400",Toronto,Ontario,M2N 7E4,416-491-2222,2019-01-08,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26846,College of Chiropractors of Ontario,"59 Hayden St, Ste 801",Toronto,Ontario,M4Y 2P2,416-922-6355,2019-01-08,wooster.edu,,2023-12-08 11:58:26,2023-12-08 11:36:35
26847,2567714 Ontario Inc,"59 Hayden St, Ste 701",Toronto,Ontario,M4Y 0E7,,2019-01-08,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26848,1454411 Ontario Inc,210 County Rd 31,Leamington,Ontario,N8H 3V5,,2019-01-07,,,2023-12-08 11:36:35,2023-12-08 11:36:35
26849,2503576 Ontario Inc,"20 Adelaide St E, Ste 303",Toronto,Ontario,M5C 2T6,,2019-08-29,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26850,Timbercreek 4Q Multi-Residential GP Inc,25 Price St,Toronto,Ontario,M4W 1Z1,416-923-9967,2019-08-29,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26851,385 MKE Ltd,1231 Eighteenth Sideroad,King City,Ontario,L7B 1K5,,2019-08-29,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26852,Selig Canada ULC,"222 N LaSalle St, Ste 1000",Chicago,Illinois,USA - 60601,,2019-08-29,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26853,238 Advance Blvd Inc,"22 St Clair Ave E, Ste 1505",Toronto,Ontario,M4T 2S3,647-748-1114,2019-08-27,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26854,Ampower Electrical Contractors,241 Advance Blvd,Brampton,Ontario,L6T 4J2,905-793-7193,2019-08-27,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26855,Caishen Capital Group Ltd,5811 Cooney Rd,Richmond,British Columbia,V6X 3M1,,2019-08-26,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26856,21 Voyager Court South Ltd,"400 University Ave, Ste 1900",Toronto,Ontario,M5G 1S5,416-927-1851,2019-08-26,,,2023-12-08 11:36:36,2023-12-08 11:36:36
26857,Mennie Canada,111 Advance Blvd,Brampton,Ontario,L6T 4H8,416-748-0088,2019-08-21,menniecanada.com,,2023-12-08 11:58:20,2023-12-08 11:36:37
26858,PBS Capital Corp,6829 Pacific Circle,Mississauga,Ontario,L5T 1S6,905-670-8828,2019-08-21,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26859,1892757 Ontario Inc,"966 Pantera Dr, Ste 22",Mississauga,Ontario,L4S 2S1,,2019-08-19,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26860,260 Eighth Street Holdings ULC,121 King St W,Toronto,Ontario,M5H 3T9,,2019-08-15,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26861,Huntsville 100 Howland Drive Inc,61 Beckenridge Dr,Markham,Ontario,L3S 2V3,,2019-08-15,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26862,2705461 Ontario Inc,19 Lowerlinks Rd,North York,Ontario,M2P 1H5,416-229-0570,2019-08-15,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26863,Registered Nurses Association of Ontario,158 Pearl St,Toronto,Ontario,M5H 1L3,416-599-1925,2019-08-14,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26864,Conservatory Group,"90 Tiverton Ct, Ste 200",Markham,Ontario,L3R 9V2,905-477-7609,2019-08-14,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26865,Olympia Tile,1000 Lawrence Ae W,Toronto,Ontario,M6A 1G6,416-785-6666,2019-08-13,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26866,1376265 Ontario Inc,"245 Fairview Mall Dr, Ste 600",Toronto,Ontario,M2J 4T1,,2019-08-13,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26867,Ironstone Building Corp,"320 Dundas St, Unit 1",London,Ontario,N6N 3R8,519-660-6006,2019-08-12,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26868,11558595 Canada Inc,"333 Bay St, Ste 2400",Toronto,Ontario,M5H 2T6,,2019-08-12,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26869,Toronto Research Chemicals,2 Brisbane Rd,North York,Ontario,M3J 2J8,800-727-9240,2019-08-09,trc-canada.com,,2023-12-08 11:58:21,2023-12-08 11:36:37
26870,LGC Canada Real Estate Ltd,,United Kingdom,,TW11 0LY,,2019-08-09,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26871,Century Centre Developments Inc,"10679 Glendon Dr, RR 3",Komoka,Ontario,N0L 1R0,519-472-8200,2019-08-09,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26872,CR4 Carling Executive Park Inc,,Toronto,Ontario,M5G 1S5,416-927-1851,2019-08-08,,,2023-12-08 11:36:37,2023-12-08 11:36:37
26873,Embassy Suites Niagara,6700 Fallsview Blvd,Niagara Falls,Ontario,L2G 3W6,905-356-3600,2019-08-02,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26874,1948058 Ontario Ltd,6700 Fallsview Blvd,Niagara Falls,Ontario,L2G 3W6,905-356-3600,2019-08-02,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26875,London Property Corp,"5405 Eglinton Ave W, Ste 214",Toronto,Ontario,M9C 5K6,416-595-1070,2019-08-01,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26876,Charleston Homes,143 Dennis St,Rockwood,Ontario,N0B 2K0,519-856-4054,2019-08-01,charlestonhomesomaha.com,,2023-12-09 16:48:06,2023-12-08 11:36:38
26877,Fernbrook Homes Ltd,"2220 Hwy 7 W, Unit 5",Concord,Ontario,L4K 1W7,416-667-0447,2019-08-01,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26878,Stronach Consulting Corp,455 Magna Dr,Aurora,Ontario,L4G 7A9,905-726-7600,2019-08-01,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26879,847325 Ontario Ltd,,Toronto,Ontario,M1H 3H2,,2019-08-01,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26880,Scotia Realty Ltd,44 King St W,Toronto,Ontario,M5H 1H1,416-866-6161,2019-07-31,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26881,Duca Financial Services Credit Union Ltd,"5255 Yonge St, 4th Flr",Toronto,Ontario,M2N 5P9,416-223-8502,2019-07-31,duca.com,,2023-12-08 11:58:21,2023-12-08 11:36:38
26882,Diversicare Canada Management Services Co Inc,"2121 Argentia Rd, Ste 301",Mississauga,Ontario,L5N 2X4,905-821-1161,2019-07-31,,,2023-12-08 11:36:38,2023-12-08 11:36:38
26883,Agribrands Purina Canada ULC,"240 Graham Ave, Ste 300",Winnipeg,Manitoba,R3C 4C5,,2019-07-25,cargill.com,,2023-12-09 16:47:56,2023-12-08 11:36:39
26884,Trillium Health Care Products Inc,2337 Parkedale Ave,Brockville,Ontario,K6V 5W5,,2019-07-24,trilliumhcp.com,,2023-12-08 11:58:21,2023-12-08 11:36:39
26885,OTC Rx Nominee Corp,1055 West Georgia St,Vancouver,BC,V6E 4N7,,2019-07-24,,,2023-12-08 11:36:39,2023-12-08 11:36:39
26886,Distributed Power Canada Co,"1959 Upper Water St, Ste 900",Halifax,NS,B3J 3N2,,2019-07-19,,,2023-12-08 11:36:39,2023-12-08 11:36:39
26887,Luxembourg Investment Company 268 SARL,"181 Bay St, Ste 2100",Toronto,Ontario,M5J 2T3,,2019-07-19,,,2023-12-08 11:36:39,2023-12-08 11:36:39
26888,Louis Weisfeld Ltd,"170 Brockport Dr, Ste 214",Etobicoke,Ontario,M9W 5C8,,2019-07-18,,,2023-12-08 11:36:39,2023-12-08 11:36:39
26889,Timbercreek Four Quandrant GP 2 Inc,25 Price St,Toronto,Ontario,M4W 1Z1,416-923-9967,2019-07-16,,,2023-12-08 11:36:40,2023-12-08 11:36:40
26890,Vaughan Paving Ltd,220 Basaltic Rd,Concord,Ontario,L4K 1G6,905-669-9579,2019-07-15,,,2023-12-08 11:36:40,2023-12-08 11:36:40
26891,2689336 Ontario Inc,"1625 Steeles Ave E, Unit 3",Brampton,Ontario,L6T 4T7,,2019-07-15,,,2023-12-08 11:36:40,2023-12-08 11:36:40
26892,ARG Group,111 Creditstone Rd,Vaughan,Ontario,L4K 1N3,905-669-4133,2019-07-10,arggroupjaipur.com,,2023-12-08 11:58:21,2023-12-08 11:36:40
33613,Woolverton Development Corp,"180 Bloor St W, Ste 701",Toronto,Ontario,M5S 2V6,,2024-12-19,,,2025-01-11 19:02:09,2025-01-11 19:02:09
33614,Melli Holdings Ltd,3110 Oriole St,Thunder Bay,Ontario,P7K 1B9,,2024-12-19,,,2025-01-11 19:02:09,2025-01-11 19:02:09
33615,2196564 Ontario Ltd,,,,,,2024-12-19,,,2025-01-11 19:02:09,2025-01-11 19:02:09
33616,2486526 Ontario Ltd,2504 Lake Shore,Etobicoke,Ontario,M8V 1E1,,2024-12-19,,,2025-01-11 19:02:09,2025-01-11 19:02:09
33617,Apaylo Finance Techology Inc,"4500 Highway 7, Ste 210",Vaughan,Ontario,L4L 4Y7,833-427-2956,2024-12-19,,,2025-01-11 19:02:09,2025-01-11 19:02:09
33618,2628908 Ontario Ltd,220 King Rd,,,L4E 2W1,,2024-12-19,,,2025-01-11 19:02:09,2025-01-11 19:02:09
33619,1001072846 Ontario Inc,9593 Bathurst St,Richmond Hill,Ontario,L4C 3X3,,2024-12-19,,,2025-01-11 19:02:09,2025-01-11 19:02:09
